MathsAptitude,Interest,HighestQualification,ComputerScienceRelated,Course
low,AI,degree,No,BSc Computer Science
high,AI,college,N/A,BSc Computer Science with AI
high,AI,diploma,Yes,BSc Computer Science with AI
high,General computer science,high school,N/A,Nottingham foundation programme
high,General computer science,high school,N/A,Nottingham foundation programme
medium,research and advanced studies,diploma,No,BSc Computer Science
high,AI,diploma,No,BSc Computer Science with AI
high,AI,college,N/A,BSc Computer Science with AI
medium,General computer science,college,N/A,BSc Computer Science
high,General computer science,high school,N/A,Nottingham foundation programme
low,research and advanced studies,degree,No,BSc Computer Science
low,AI,college,N/A,BSc Computer Science
medium,General computer science,college,N/A,BSc Computer Science
low,research and advanced studies,college,N/A,BSc Computer Science
high,research and advanced studies,diploma,Yes,BSc Computer Science
medium,AI,degree,Yes,BSc Computer Science with AI
low,AI,diploma,Yes,BSc Computer Science
high,research and advanced studies,degree,No,BSc Computer Science
high,research and advanced studies,college,N/A,BSc Computer Science
medium,research and advanced studies,high school,N/A,Nottingham foundation programme
medium,General computer science,high school,N/A,Nottingham foundation programme
high,General computer science,diploma,Yes,BSc Computer Science
medium,research and advanced studies,diploma,No,BSc Computer Science
medium,General computer science,college,N/A,BSc Computer Science
medium,General computer science,diploma,No,BSc Computer Science
low,AI,high school,N/A,Nottingham foundation programme
high,AI,degree,Yes,BSc Computer Science with AI
medium,AI,high school,N/A,Nottingham foundation programme
high,General computer science,college,N/A,BSc Computer Science
medium,AI,high school,N/A,Nottingham foundation programme
low,research and advanced studies,college,N/A,BSc Computer Science
low,AI,degree,No,BSc Computer Science
low,research and advanced studies,diploma,Yes,BSc Computer Science
medium,General computer science,degree,Yes,BSc Computer Science
low,General computer science,diploma,No,BSc Computer Science
low,research and advanced studies,high school,N/A,Nottingham foundation programme
low,research and advanced studies,high school,N/A,Nottingham foundation programme
low,AI,high school,N/A,Nottingham foundation programme
low,AI,high school,N/A,Nottingham foundation programme
high,General computer science,high school,N/A,Nottingham foundation programme
medium,research and advanced studies,diploma,Yes,BSc Computer Science
high,research and advanced studies,college,N/A,BSc Computer Science
medium,General computer science,degree,Yes,BSc Computer Science
low,research and advanced studies,college,N/A,BSc Computer Science
high,General computer science,high school,N/A,Nottingham foundation programme
medium,General computer science,college,N/A,BSc Computer Science
low,AI,high school,N/A,Nottingham foundation programme
medium,AI,college,N/A,BSc Computer Science with AI
high,General computer science,degree,Yes,BSc Computer Science
low,General computer science,college,N/A,BSc Computer Science
high,AI,high school,N/A,Nottingham foundation programme
high,research and advanced studies,diploma,No,BSc Computer Science
medium,AI,degree,Yes,BSc Computer Science with AI
medium,General computer science,degree,Yes,BSc Computer Science
low,General computer science,degree,No,BSc Computer Science
medium,AI,high school,N/A,Nottingham foundation programme
medium,research and advanced studies,degree,Yes,MPhil/PhD Computer Science
low,AI,diploma,Yes,BSc Computer Science
low,General computer science,high school,N/A,Nottingham foundation programme
medium,AI,college,N/A,BSc Computer Science with AI
low,AI,diploma,No,BSc Computer Science
medium,General computer science,degree,Yes,BSc Computer Science
medium,General computer science,high school,N/A,Nottingham foundation programme
low,General computer science,diploma,Yes,BSc Computer Science
high,research and advanced studies,degree,Yes,MPhil/PhD Computer Science
low,research and advanced studies,degree,Yes,MPhil/PhD Computer Science
medium,AI,diploma,No,BSc Computer Science with AI
medium,research and advanced studies,college,N/A,BSc Computer Science
medium,General computer science,college,N/A,BSc Computer Science
high,General computer science,college,N/A,BSc Computer Science
medium,General computer science,college,N/A,BSc Computer Science
high,General computer science,high school,N/A,Nottingham foundation programme
low,research and advanced studies,high school,N/A,Nottingham foundation programme
low,General computer science,college,N/A,BSc Computer Science
low,General computer science,degree,No,BSc Computer Science
medium,research and advanced studies,degree,No,BSc Computer Science
low,research and advanced studies,college,N/A,BSc Computer Science
medium,research and advanced studies,college,N/A,BSc Computer Science
medium,AI,college,N/A,BSc Computer Science with AI
low,research and advanced studies,high school,N/A,Nottingham foundation programme
low,General computer science,diploma,No,BSc Computer Science
low,AI,diploma,Yes,BSc Computer Science
low,General computer science,high school,N/A,Nottingham foundation programme
medium,AI,high school,N/A,Nottingham foundation programme
medium,General computer science,high school,N/A,Nottingham foundation programme
medium,research and advanced studies,high school,N/A,Nottingham foundation programme
low,research and advanced studies,diploma,Yes,BSc Computer Science
high,AI,diploma,No,BSc Computer Science with AI
medium,General computer science,diploma,No,BSc Computer Science
low,research and advanced studies,degree,No,BSc Computer Science
low,AI,diploma,Yes,BSc Computer Science
high,research and advanced studies,college,N/A,BSc Computer Science
medium,research and advanced studies,degree,No,BSc Computer Science
medium,General computer science,degree,No,BSc Computer Science
high,General computer science,high school,N/A,Nottingham foundation programme
low,General computer science,degree,No,BSc Computer Science
high,General computer science,college,N/A,BSc Computer Science
high,AI,degree,Yes,BSc Computer Science with AI
high,research and advanced studies,high school,N/A,Nottingham foundation programme
high,General computer science,degree,No,BSc Computer Science
low,research and advanced studies,degree,No,BSc Computer Science
low,General computer science,college,N/A,BSc Computer Science
low,AI,college,N/A,BSc Computer Science
medium,research and advanced studies,diploma,Yes,BSc Computer Science
